Snapshot}convex_hull_area}average_proximity}geohash_area}vessel_locations}SpComplexity}SpDensity}SpCriticality}2D_Cluster_K2}3D_Cluster_K2}3D_Cluster_K2_Centroid}2D_Cluster_K3}3D_Cluster_K3}3D_Cluster_K3_Centroid}2D_Cluster_K4}3D_Cluster_K4}3D_Cluster_K4_Centroid}2D_Cluster_K5}3D_Cluster_K5}3D_Cluster_K5_Centroid
base_snapshot_01}475834665.2367109}17694.327364709723}3066579.0}259.0}0.527393965160739}0.30827203787213986}0.4331103678929766}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}0}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_02}603889123.5695078}19213.42242837664}4400892.0}475.0}0.3827043094800906}0.16925692630703568}0.794314381270903}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}2}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}2}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_03}415745356.86654174}18707.679719808824}5267025.0}586.0}0.570923550612883}0.205424189025783}0.979933110367893}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}1}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}0}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_04}370711363.67788786}19359.992525066755}1638630.0}122.0}0.6187058287448838}0.7405042712573313}0.2040133779264214}1}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}0}[0.7047410469494826, 0.7207134815583927, 0.22380156075808255]}0}1}[0.7047410469494826, 0.7207134815583927, 0.22380156075808255]}1}3}[0.6456892563393791, 0.6648561778700712, 0.22575250836120403]
base_snapshot_05}533513527.69501567}18910.426667741707}4892481.0}569.0}0.4401275235247757}0.17233353038237562}0.9515050167224081}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}2}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}2}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_06}382490880.99741817}18776.32296281595}3651804.0}329.0}0.6182920457940206}0.32204445288205447}0.5501672240802675}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}0}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_07}396758394.1376867}18864.491104812427}4962708.0}596.0}0.5932723032714396}0.22845439748465574}0.9966555183946488}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}1}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}0}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_08}436126683.4940767}19777.05358796807}2809080.0}223.0}0.5148148224595892}0.3671703486959884}0.3729096989966555}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}0}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_09}454026926.98622084}19450.160839373908}4752027.0}464.0}0.5028291937074958}0.2084893419695842}0.7759197324414716}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}2}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}2}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_10}372912105.2622279}18173.451509184095}4002939.0}369.0}0.6552113226071469}0.3013414787164361}0.617056856187291}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}0}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_11}420944001.06081915}19138.587177482055}4728618.0}496.0}0.5511770071602407}0.2259882258752443}0.8294314381270903}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}1}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}0}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
