Snapshot}convex_hull_area}average_proximity}geohash_area}vessel_locations}SpComplexity}SpDensity}SpCriticality}2D_Cluster_K2}2D_Cluster_K2_Centroid}3D_Cluster_K2}3D_Cluster_K2_Centroid}2D_Cluster_K3}2D_Cluster_K3_Centroid}3D_Cluster_K3}3D_Cluster_K3_Centroid}2D_Cluster_K4}2D_Cluster_K4_Centroid}3D_Cluster_K4}3D_Cluster_K4_Centroid}2D_Cluster_K5}2D_Cluster_K5_Centroid}3D_Cluster_K5}3D_Cluster_K5_Centroid
experiment_500_snapshot_01}421465915.66209865}18358.49471964797}4354074.0}500.0}0.8607923794429619}0.9251256464356229}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_02}390127755.6339686}18620.98810112111}4541346.0}500.0}0.9168290575892744}0.9582251034738184}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_03}389350791.00569165}19239.391699579744}4915890.0}500.0}0.8891305714442215}0.8869839624043155}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_04}379209749.37356615}17976.723617280702}4775436.0}500.0}0.977030013891828}0.9374896066149065}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_05}503103537.3993575}18833.945560534536}4471119.0}500.0}0.7029092514255801}0.7547191769882565}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}0}[0.680295531837234, 0.684057197019911]}1}[0.680295531837234, 0.684057197019911, 1.0]}2}[0.7418659008734569, 0.7432842353054433]}2}[0.7535385587627366, 0.7607698605772539, 1.0]}1}[0.7083434736364107, 0.7082568572089769]}0}[0.7083434736364107, 0.7082568572089769, 1.0]
experiment_500_snapshot_06}381939615.31754375}18374.230638753903}4447710.0}500.0}0.9490608777439441}0.9993734699564994}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_07}652845790.6235034}19002.15750345312}4564755.0}500.0}0.536888892760476}0.5696799096464201}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}0}[0.680295531837234, 0.684057197019911]}1}[0.680295531837234, 0.684057197019911, 1.0]}1}[0.630321946768449, 0.6359272062347996]}1}[0.6590191894323875, 0.656514763705504, 1.0]}4}[0.596151706439704, 0.6114582164527131]}3}[0.596151706439704, 0.6114582164527131, 1.0]
experiment_500_snapshot_08}448994249.1176572}18572.399136275908}4892481.0}500.0}0.7987100593397253}0.7728390516923388}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}2}[0.7418659008734569, 0.7432842353054433]}2}[0.7535385587627366, 0.7607698605772539, 1.0]}3}[0.7817007627739041, 0.7880381580596827]}4}[0.7817007627739041, 0.7880381580596827, 1.0]
experiment_500_snapshot_09}425284478.60080075}18927.862973881616}4634982.0}500.0}0.8274024928310889}0.8612542944921987}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_10}498241731.9990497}18728.263899653437}4728618.0}500.0}0.7137733357577749}0.7205840642400526}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}0}[0.680295531837234, 0.684057197019911]}1}[0.680295531837234, 0.684057197019911, 1.0]}2}[0.7418659008734569, 0.7432842353054433]}2}[0.7535385587627366, 0.7607698605772539, 1.0]}1}[0.7083434736364107, 0.7082568572089769]}0}[0.7083434736364107, 0.7082568572089769, 1.0]
experiment_500_snapshot_11}424945214.66605115}18635.794698933234}4728618.0}500.0}0.8410408313045108}0.8448737386065707}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
