Snapshot,convex_hull_area,average_proximity,geohash_area
snapshot_1,141990140.80641916,23004.611345015244,304317.0
snapshot_2,187498531.8982129,18525.890227687898,491589.0
snapshot_3,364744498.87025976,18945.698980322777,585225.0
snapshot_4,329103287.70838,20808.726638092627,374544.0
snapshot_5,395211621.9297724,20356.011684320776,608634.0
snapshot_6,321366454.82897115,21437.800465915712,819315.0
snapshot_7,426965590.847841,21132.90214327152,538407.0
snapshot_8,442783812.50448847,21743.386574621825,725679.0
snapshot_9,246172014.55903077,19913.564233724133,468180.0
snapshot_10,430531035.6708348,22100.062480531156,608634.0
